name,id,token0.id,token0.symbol,token0.name,token0.decimals,token1.id,token1.symbol,token1.name,token1.decimals,totalSupply,volumeUSD,txCount
TUSD-Xi,0x00040a7ebfc9f6fbce4d23bd66b79a603ba1c323,0x0000000000085d4780b73119b644ae5ecd22b376,TUSD,TrueUSD,18,0x71b6296174c5f07d37cafd6e9b72ab5bb3f14fac,Xi,Stable Yield Credit,8,0,0,2
LON-SUSHI,0x00088e1f7510370fab86a7bd10578b578c61c723,0x0000000000095413afc295d19edeb1ad7b71c952,LON,Tokenlon,18,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,SUSHI,SushiToken,18,0.038917430505825711,8372.515027161570532754078122884646,3
ORANGE-WETH,0x0013df4ec514d5839ad4f535e4987498ebb58bf5,0x06c30962591720e1200b239fa70601381ba301d3,ORANGE,Orange Side Punk #7973,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Wrapped Ether,18,0.004878579919686138,1095.942737073699578007588431061992,8
BEL-WETH,0x0018fb451a46ae397b8569936bc5bb5ff03cfd18,0xa91ac63d040deb1b7a5e4d4134ad23eb0ba07e14,BEL,Bella,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Wrapped Ether,18,1.892056239385899267,7066405.101562944844209530347138601,543
UMA-WETH,0x001b6450083e531a5a7bf310bd2c1af4247e23d4,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,UMA,UMA Voting Token v1,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Wrapped Ether,18,1872.365196694084760743,526255796.0972015452153315534798566,63228
DER-WETH,0x001eef3f9cc87d487adaf1c2d5c07a75e80302f4,0x7d4cd2a7656ef5917ecc4e663b5966d10476804a,DER,DummyErc20,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Wrapped Ether,18,0.388627070595962502,12.19460822264129063856630097994237,2
WETH-UWL,0x0040a2cebc65894bc2cfb57565f9acfa33fab137,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Wrapped Ether,18,0xdbdd6f355a37b94e6c7d32fef548e98a280b8df5,UWL,UniWhales.io,18,6.676832823904560033,5551784.778125571370363914848657352,588
PROS-ASTRAFER,0x004efeca2bdf918e61669d5ca356211463378f81,0x8642a849d0dcb7a15a974794668adcfbe4794b56,PROS,Prosper,18,0x97bbbc5d96875fb78d2f14b7ff8d7a3a74106f17,ASTRAFER,Astrafer,18,41268.935048047944508488,0,1436
CSATM-WETH,0x0087af23607d845d9391137360d497c1c36d3634,0xb1bf54d4beeb77e5b99fd2ca7811191d80d79f88,CSATM,CryptoSmart ATM,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Wrapped Ether,18,0,0,4
USDC-TRI,0x009f1e8d579ed8f651213b11a4973bc132bd9b77,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USD Coin,6,0xc2f9d5b602116f571a43be7f4f5a08294a6a60ae,TRI,Trifid Markets,18,0.000000805658218275,107.0794263526692111058604249984753,5
stXYM-stETH,0x00a1e325d7bc9172c0b858c5526342439c3d0a76,0x8f5e78888f8933ed676a62bb6b58a4b279abe408,stXYM,stakedXYM,6,0xdfe66b14d37c77f4e9b180ceb433d1b164f0281d,stETH,stakedETH,18,0.000000031460961098,3436.78986198528224472211998360554,3
IQ-WETH,0x00adda4baabb466ac07ff780e1052e3110f2c4e0,0xa23d33d5e0a61ba81919bfd727c671bb03ab0fea,IQ,pTokens IQ,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Wrapped Ether,18,0.0006561117979315,11.41063033973273089481887145942876,3
LIGHT-WETH,0x00c70e8b3c9d0e0adb85993382abaae2a11c5d96,0x0dbb4b96a23ea7943bb72a8f16cc2c248f372935,LIGHT,LightToken,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Wrapped Ether,18,57.695441613112480073,3586078.101614202912036775156058375,6337
WETH-SLP,0x00d498526bfac6b19a9f9868ca566509746a9258,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Wrapped Ether,18,0xd453d48aca428fd718bc0e1ad238bfc009eff1d0,SLP,SushiSwap LP Token,18,0.008902039230836866,42.00032856700533380828443166458904,14
wSIENNA-WETH,0x0133042ade87514c0a7b34a4e83ec7ef597ff3cc,0x9b00e6e8d787b13756eb919786c9745054db64f9,wSIENNA,Sienna (ERC20),18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Wrapped Ether,18,0.101896736739392963,109055.5896113593268998985717530702,59
WATR-WETH,0x01523c9f4b9a16345dee9b62aede2236db54850f,0x7dd14dd66ff3f7a5fada8b1aeb950521a455c818,WATR,Water Settlements Token,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Wrapped Ether,18,0.055652334001518459,0.6642455267206481780635625584188138,4
BZRX-USDC,0x015fb943cb01957d5ed06483ee915eba1505ab69,0x56d811088235f11c8920698a204a5010a788f4b3,BZRX,bZx Protocol Token,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USD Coin,6,0,0,2
BASKBond-WETH,0x01ab5bd51a93d3765e31dea8cf9ba5d1c0c52383,0x02d463574ce1e45d9f6258518d3ff7667c78383d,BASKBond,BASK Bond,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Wrapped Ether,18,0.00360803111102191,10169.8261474761797123252873533302,10
DGCL-ACXT,0x01b07db89436ae078f949cc539697c490eeb539a,0x63b8b7d4a3efd0735c4bffbd95b332a55e4eb851,DGCL,DigiCol Token,18,0x7be00ed6796b21656732e8f739fc1b8f1c53da0d,ACXT,AC eXchange Token,18,131761.384707356502491592,0,1844
HADA-USDT,0x01e545a18c342f95354e16b457509476e04fd5b9,0x704f160cd2d67ccfb19a7fc7d70b41003c0f2a3d,HADA,HADA Coin,8,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,Tether USD,6,0,0,4
WETH-BACON,0x01e938fed50a00e4c529631eaad263a0a2e8922f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Wrapped Ether,18,0xca6693aba63c3ab0803e14ef7d32dd37d1f55bec,BACON,BACON Network,18,0,0,2
VEGA-USDT,0x01f188965b4be1ff48dd1022315dcf1a534f1b89,0xcb84d72e61e383767c4dfeb2d8ff7f4fb89abc6e,VEGA,VEGA,18,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,Tether USD,6,0.000010954451149103,0,1
